program,fund_type,funding_year,funding_request_number,frn_line_number,status,filing_hcp,filing_hcp_name,filing_hcp_entity_type,filing_hcp_street,filing_hcp_city,filing_hcp_state,filing_hcp_zip_code,filing_hcp_latitude,filing_hcp_longitude,participating_hcp,participating_hcp_name,participating_hcp_entity_type,participating_hcp_street,participating_hcp_city,participating_hcp_state,participating_hcp_county,participating_hcp_zip_code,participating_hcp_latitude,participating_hcp_longitude,category_of_expense,service_type,download_speed,upload_speed,number_of_bidders,frequency_of_expense,multi_year_funding,funding_start_date,funding_end_date,funding_commitment_date,funding_submission_date,service_provider_id,service_provider_name,filing_window,original_requested_amount,original_committed_amount,total_commited_amount,total_authorized_disbursement_amount,service_level_agreement,invoice_deadline_date,filing_hcp_county,bandwidth,monthly_urban_rate,monthly_rural_rate,packet_loss,reliability,jitter,latency,eligible_service,eligible_site,quantity_of_item_invoiced,prorata_factor
Healthcare Connect Fund,Consortium,2022,RHC20220012184,1,Processed,17268,"Western New York Rural Area Health Education Center, Inc.",Consortium Of The Above,Po Box 152,Warsaw,NY,14569,42.740132,-78.167436,69107,Neighborhood Health Center Mattina,Community Health Center Or Health Center Providing Health Care To Migrants,300 Niagara St,Buffalo,NY,Erie,14201,42.892038,-78.88433,Data,Internet Access,50 Mbps,5 Mbps,3,Monthly,No,2022-07-01T00:00:00.000,2023-06-30T00:00:00.000,2022-09-08T00:00:00.000,2022-05-26T00:00:00.000,143050436,"Charter Communications Operating, LLC",FY 2022 Filing Window 1,2339.92,2339.92,2339.92,2339.92,No,2023-10-28T00:00:00.000,,,,,,,,,,,,
Healthcare Connect Fund,Consortium,2022,RHC20220012273,8,Processed,17241,"Ochin, Inc.",Consortium Of The Above,1881 Sw Naito Pkwy,Portland,OR,97201,45.5092389,-122.6777751,40384,Eastwood Health Center,Community Health Center Or Health Center Providing Health Care To Migrants,412 Telephone Road,Houston,TX,Harris,77023,29.7377611,-95.3329017,Data,Virtual Private Network (VPN),10.00 Mbps,10.00 Mbps,,Monthly,No,2022-07-01T00:00:00.000,2023-06-30T00:00:00.000,2023-05-04T00:00:00.000,2022-05-26T00:00:00.000,143023855,"Zayo Group, LLC",FY 2022 Filing Window 1,3588,3588,3588,,No,2024-02-25T00:00:00.000,Multnomah,,,,,,,,,,,
Healthcare Connect Fund,Individual,2013,13442361,1,Committed,12155,Family Counseling Center Inc - Caruthersville,Community Mental Health Center,915 Highway 84 W,Caruthersville,MO,63830-8113,36.154753,-89.700072,12155,Family Counseling Center Inc - Caruthersville,Community Mental Health Center,915 Highway 84 W,Caruthersville,MO,Pemiscot,63830-8113,36.154753,-89.700072,Leased/Tariffed Facilities or Services,Internet,20.0MB,2.0MB,,Month,No,2014-01-01T00:00:00.000,2014-06-30T00:00:00.000,2014-06-17T00:00:00.000,2014-05-22T00:00:00.000,143001133,Big River Telephone Company LLC,,776.06,776.06,776.06,776.06,No,2014-12-31T23:59:59.000,Pemiscot,NA,0,0,,,,,,,,
Healthcare Connect Fund,Individual,2013,13425681,1,Committed,15842,Tift Regional Medical Center -Tifton (901 E 18th St),Not-For-Profit Hospital,901 18th St E,Tifton,GA,31794-3648,31.4714885,-83.4915240,15842,Tift Regional Medical Center -Tifton (901 E 18th St),Not-For-Profit Hospital,901 18th St E,Tifton,GA,Tift,31794-3648,31.4714885,-83.4915240,Leased/Tariffed Facilities or Services,Internet,6.0MB,1.0MB,0,Month,No,2014-01-11T00:00:00.000,2014-06-30T00:00:00.000,2014-05-27T00:00:00.000,2014-05-08T00:00:00.000,143004824,"BellSouth Telecommunications, LLC",,422.18,422.18,422.18,422.18,No,2014-12-31T23:59:59.000,Tift,0,0,0,,,,,1,1,1,
Healthcare Connect Fund,Individual,2013,13391621,2,Committed,14482,Permian Regional Medical Center,Not-For-Profit Hospital,720 Hospital Dr,Andrews,TX,79714-3617,32.337526,-102.546591,14482,Permian Regional Medical Center,Not-For-Profit Hospital,720 Hospital Dr,Andrews,TX,Andrews,79714-3617,32.337526,-102.546591,Leased/Tariffed Facilities or Services,Ethernet,5,5,0,Month,Yes,2014-01-28T00:00:00.000,2016-06-30T00:00:00.000,2014-11-11T00:00:00.000,2014-03-06T00:00:00.000,143030766,"Windstream Communications, LLC",,11095.25,6346.7,6346.68,6346.69,No,2016-12-31T23:59:59.000,Andrews,,0,0,,,,,1,1,1,
Healthcare Connect Fund,Individual,2013,13425681,2,Committed,15842,Tift Regional Medical Center -Tifton (901 E 18th St),Not-For-Profit Hospital,901 18th St E,Tifton,GA,31794-3648,31.4714885,-83.4915240,15842,Tift Regional Medical Center -Tifton (901 E 18th St),Not-For-Profit Hospital,901 18th St E,Tifton,GA,Tift,31794-3648,31.4714885,-83.4915240,Leased/Tariffed Facilities or Services,ISDN PRI,1.544MB,1.544MB,0,Month,No,2014-01-11T00:00:00.000,2014-06-30T00:00:00.000,2014-05-27T00:00:00.000,2014-05-08T00:00:00.000,143004824,"BellSouth Telecommunications, LLC",,1804.39,1804.39,1804.39,1804.4,No,2014-12-31T23:59:59.000,Tift,,0,0,,,,,1,1,1,
Healthcare Connect Fund,Individual,2023,RHC20230020035,1,Processed,11338,Elmore Medical Center Hospital District,Not-For-Profit Hospital,895 N 6Th East Street,Mountain Home,ID,83647-1270,43.1388460,-115.6931425,11338,Elmore Medical Center Hospital District,Not-For-Profit Hospital,895 N 6Th East Street,Mountain Home,ID,Elmore,83647-1270,43.1388460,-115.6931425,Data,Internet Access,7 Mbps,896 Kbps,0,Monthly,No,2023-07-01T00:00:00.000,2024-06-30T00:00:00.000,2023-06-22T00:00:00.000,2023-02-17T00:00:00.000,143005231,CenturyLink Qwest Corporation,FY 2023 Filing Window 1,619.94,619.94,619.94,,No,2024-10-28T00:00:00.000,Elmore,,,,,,,,,,,
Healthcare Connect Fund,Individual,2013,13391621,4,Committed,14482,Permian Regional Medical Center,Not-For-Profit Hospital,720 Hospital Dr,Andrews,TX,79714-3617,32.337526,-102.546591,14482,Permian Regional Medical Center,Not-For-Profit Hospital,720 Hospital Dr,Andrews,TX,Andrews,79714-3617,32.337526,-102.546591,Leased/Tariffed Facilities or Services,Ethernet,5,5,0,Month,Yes,2014-01-28T00:00:00.000,2016-06-30T00:00:00.000,2014-11-11T00:00:00.000,2014-03-06T00:00:00.000,143030766,"Windstream Communications, LLC",,11549.66,6606.63,6606.62,6606.62,No,2016-12-31T23:59:59.000,Andrews,,0,0,,,,,1,1,1,
Healthcare Connect Fund,Consortium,2022,RHC20220001889,1,Processed,51826,Reid Hospital & Health Care Services,Consortium Of The Above,1100 Reid Parkway,Richmond,IN,47347,39.8643833,-84.8838698,49167,Reid Hospital,Not-For-Profit Hospital,1100 Reid Pkwy.,Richmond,IN,Wayne,47374,39.8643833,-84.8838698,Data,Ethernet,1 Gbps,1 Gbps,0,Monthly,No,2022-07-01T00:00:00.000,2023-06-30T00:00:00.000,2022-12-01T00:00:00.000,2021-12-27T00:00:00.000,143023855,"Zayo Group, LLC",FY 2022 Filing Window 1,6912.67,6912.67,6912.67,,No,2024-02-25T00:00:00.000,,,,,,,,,,,,
Healthcare Connect Fund,Individual,2013,13391621,3,Committed,14482,Permian Regional Medical Center,Not-For-Profit Hospital,720 Hospital Dr,Andrews,TX,79714-3617,32.337526,-102.546591,14482,Permian Regional Medical Center,Not-For-Profit Hospital,720 Hospital Dr,Andrews,TX,Andrews,79714-3617,32.337526,-102.546591,Leased/Tariffed Facilities or Services,Ethernet,5,5,0,Month,Yes,2014-01-28T00:00:00.000,2016-06-30T00:00:00.000,2014-11-11T00:00:00.000,2014-03-06T00:00:00.000,143030766,"Windstream Communications, LLC",,10540.48,6029.36,6029.35,6029.35,No,2016-12-31T23:59:59.000,Andrews,,0,0,,,,,1,0.95,1,
Healthcare Connect Fund,Consortium,2023,RHC20230027403,6,Processed,93066,Commonspirit Health,Consortium Of The Above,11045 E Lansing Cir,Englewood,CO,80112,39.548535,-104.862382,70615,Dignity Health - Mercy General Hospital,Not-For-Profit Hospital,4001 J St,Sacramento,CA,Sacramento,95819,38.569578,-121.452429,Data,ISDN,1.54 Mbps,1.54 Mbps,0,Monthly,No,2023-07-01T00:00:00.000,2024-06-30T00:00:00.000,2023-10-26T00:00:00.000,2023-04-26T00:00:00.000,143000131,Electric Lightwave LLC,FY 2023 Filing Window 1,5582.38,0,0,,No,2024-10-28T00:00:00.000,,,,,,,,,,,1,
Healthcare Connect Fund,Consortium,2022,RHC20220002374,1,Processed,64393,Ascension Health,Consortium Of The Above,4600 Edmundson Rd,Saint Louis,MO,63134,38.7365401,-90.3635278,15552,"St. Vincent Madison County Health System, Inc. D/B/A St. Vincent Mercy Hospital, Inc.",Not-For-Profit Hospital,1331 S A St,Elwood,IN,Madison,46036,40.2754248,-85.8439848,Data,T1/DS1,1.544 Mbps,1.544 Mbps,2,Monthly,No,2022-07-01T00:00:00.000,2023-06-30T00:00:00.000,2022-09-15T00:00:00.000,2021-12-30T00:00:00.000,143021460,"CenturyLink Level 3 Communications, LLC",FY 2022 Filing Window 1,2232.67,2232.67,2232.67,,No,2023-10-28T00:00:00.000,,,,,,,,,,,,
Healthcare Connect Fund,Individual,2013,13425731,1,Committed,15842,Tift Regional Medical Center -Tifton (901 E 18th St),Not-For-Profit Hospital,901 18th St E,Tifton,GA,31794-3648,31.4714885,-83.4915240,15842,Tift Regional Medical Center -Tifton (901 E 18th St),Not-For-Profit Hospital,901 18th St E,Tifton,GA,Tift,31794-3648,31.4714885,-83.4915240,Leased/Tariffed Facilities or Services,Dedicated Internet Access (DIA),20.0MB,20.0MB,0,Month,No,2014-01-11T00:00:00.000,2014-06-30T00:00:00.000,2014-06-17T00:00:00.000,2014-05-21T00:00:00.000,143034928,"Plant TiftNet, Inc.",,1267.5,1267.5,1267.5,1267.5,No,2014-12-31T23:59:59.000,Tift,0,0,0,,,,,1,1,1,
Healthcare Connect Fund,Individual,2013,13486541,1,Committed,31809,Merc - Columbiana Ent Clinic,Rural Health Clinic,225 E State Route 14 Ste 102,Columbiana,OH,44408,40.899361,-80.692922,31809,Merc - Columbiana Ent Clinic,Rural Health Clinic,225 E State Route 14 Ste 102,Columbiana,OH,Columbiana,44408,40.899361,-80.692922,Leased/Tariffed Facilities or Services,Ethernet,100.0MB,100.0MB,0,Month,No,2014-04-17T00:00:00.000,2014-06-30T00:00:00.000,2014-09-23T00:00:00.000,2014-06-26T00:00:00.000,143021118,Global Enterprise Solutions Inc.,,2509.21,2509.21,2509.21,2509.21,No,2014-12-31T23:59:59.000,Columbiana,100.0MB,0,0,,,,,,,,
Healthcare Connect Fund,Individual,2013,13425741,1,Committed,15842,Tift Regional Medical Center -Tifton (901 E 18th St),Not-For-Profit Hospital,901 18th St E,Tifton,GA,31794-3648,31.4714885,-83.4915240,15842,Tift Regional Medical Center -Tifton (901 E 18th St),Not-For-Profit Hospital,901 18th St E,Tifton,GA,Tift,31794-3648,31.4714885,-83.4915240,Leased/Tariffed Facilities or Services,Internet,100.0MB,100.0MB,0,Month,Yes,2014-01-13T00:00:00.000,2016-06-30T00:00:00.000,2014-11-11T00:00:00.000,2014-05-21T00:00:00.000,143034928,"Plant TiftNet, Inc.",,32667.74,32667.74,32667.74,32667.74,No,2016-12-31T23:59:59.000,Tift,100.0MB,0,0,,,,,,,,
Healthcare Connect Fund,Individual,2013,13425471,1,Committed,15842,Tift Regional Medical Center -Tifton (901 E 18th St),Not-For-Profit Hospital,901 18th St E,Tifton,GA,31794-3648,31.4714885,-83.4915240,15842,Tift Regional Medical Center -Tifton (901 E 18th St),Not-For-Profit Hospital,901 18th St E,Tifton,GA,Tift,31794-3648,31.4714885,-83.4915240,Leased/Tariffed Facilities or Services,Internet,0,0,0,Month,No,2014-01-13T00:00:00.000,2014-06-30T00:00:00.000,2014-05-27T00:00:00.000,2014-05-08T00:00:00.000,143001192,AT&T Corp.,,9429.45,9429.45,9429.45,9429.45,No,2014-12-31T23:59:59.000,Tift,50.0MB,0,0,,,,,,,,
Healthcare Connect Fund,Consortium,2022,RHC20220013372,13,Processed,17234,New England Telehealth Consortium,Consortium Of The Above,41 Pleasant St,Bangor,ME,04401,44.796139,-68.771729,23707,Mainehealth/Maine Medical Center,Not-For-Profit Hospital,22 Bramhall St,Portland,ME,Cumberland,04102,43.6532195,-70.2751785,Data,Ethernet,1000.00 Mbps,1000.00 Mbps,4,Monthly,No,2022-07-01T00:00:00.000,2023-06-30T00:00:00.000,2023-01-26T00:00:00.000,2022-05-31T00:00:00.000,143009557,Biddeford Internet Corp.,FY 2022 Filing Window 1,12090,0,0,,No,2024-02-25T00:00:00.000,Penobscot,,,,,,,,,,,
Healthcare Connect Fund,Individual,2024,RHC20240000119,1,Submitted,114738,Rockdale Mental Health Clinic,Rural Health Clinic,313 N Main St,Rockdale,TX,76567,,,114738,Rockdale Mental Health Clinic,Rural Health Clinic,313 N Main St,Rockdale,TX,Milam,76567,,,Data,Virtual Private Network (VPN),20 Mbps,20 Mbps,,Monthly,No,,,,2023-12-01T00:00:00.000,143005581,Department of Information Resources- Telecommunication Svcs.,FY 2024 Filing Window 1,5390.11,,,,No,,Milam,,,,,,,,,,,
Healthcare Connect Fund,Consortium,2023,RHC20230026865,2,Submitted,64257,North Carolina Healthcare Consortium,Consortium Of The Above,41 Pleasant St,Bangor,ME,04401,44.7965129,-68.7715997,65906,Monarch/Behavioral Health - Zebulon,Community Mental Health Center,1002 Dogwood Dr,Zebulon,NC,Wake,27597,35.8372216,-78.3197653,Data,Internet Access,200.00 Mbps,10.00 Mbps,1,Monthly,No,,,,2023-04-25T00:00:00.000,143050436,"Charter Communications Operating, LLC",FY 2023 Filing Window 1,1169.84,,,,No,,,,,,,,,,,,,
Healthcare Connect Fund,Individual,2013,13414041,1,Committed,15164,Granville Medical Center,Not-For-Profit Hospital,1010 College St,Oxford,NC,27565-2507,36.326762,-78.59427,15164,Granville Medical Center,Not-For-Profit Hospital,1010 College St,Oxford,NC,Granville,27565-2507,36.326762,-78.59427,Leased/Tariffed Facilities or Services,Dedicated Internet Access (DIA),100.0MB,100.0MB,0,Month,Yes,2014-01-18T00:00:00.000,2016-06-30T00:00:00.000,2014-11-11T00:00:00.000,2014-04-10T00:00:00.000,143027380,"Time Warner Cable Information Services (North Carolina), LLC",,53697.65,1823.25,29995.4,29995.4,No,2016-12-31T23:59:59.000,Granville,100.0MB,0,0,,,,,,1,,
Healthcare Connect Fund,Consortium,2023,RHC20230026409,3,Submitted,64866,Srho Hcf Consortium,Consortium Of The Above,Po Box 12161,Raleigh,NC,27605,35.790839,-78.653544,50393,Middlesex Community Mental Health,Not Available,103 South Main Street,Middletown,CT,Middlesex,06457,41.569741,-72.6568968,Data,Ethernet,20.00 Mbps,20.00 Mbps,3,Monthly,No,,,,2023-04-19T00:00:00.000,143005274,Crown Castle Fiber LLC,FY 2023 Filing Window 1,4095,,,,No,,,,,,,,,,,,1,
Healthcare Connect Fund,Individual,2013,13404861,1,Committed,31254,Northwest Colorado Visiting Nurses Association,Rural Health Clinic,940 Central Park Dr Ste 101,Steamboat Springs,CO,80487-8853,40.466759,-106.821266,31254,Northwest Colorado Visiting Nurses Association,Rural Health Clinic,940 Central Park Dr Ste 101,Steamboat Springs,CO,Routt,80487-8853,40.466759,-106.821266,Leased/Tariffed Facilities or Services,T-1 / DS-1,1.5,1.5,0,Month,No,2014-02-18T00:00:00.000,2014-06-30T00:00:00.000,2014-04-22T00:00:00.000,2014-03-17T00:00:00.000,143005231,CenturyLink Qwest Corporation,,2107.89,2107.89,2107.89,2107.89,No,2014-12-31T23:59:59.000,Routt,0,0,0,,,,,1,1,1,
Healthcare Connect Fund,Individual,2023,RHC20230017971,1,Processed,27879,Southeast Alabama Regional Healthcare Authority Dba Medical Center Barbour,Not-For-Profit Hospital,820 West Washington Street,Eufaula,AL,36027,31.8887641,-85.1563565,27879,Southeast Alabama Regional Healthcare Authority Dba Medical Center Barbour,Not-For-Profit Hospital,820 West Washington Street,Eufaula,AL,Barbour,36027,31.8887641,-85.1563565,Data,Ethernet,50 Mbps,50 Mbps,1,Monthly,No,2023-07-01T00:00:00.000,2024-06-30T00:00:00.000,2023-07-06T00:00:00.000,2023-01-25T00:00:00.000,143026293,"Southern Light, LLC",FY 2023 Filing Window 1,2704.57,2704.57,2704.57,,No,2025-02-25T00:00:00.000,Barbour,,,,,,,,,,,
Healthcare Connect Fund,Consortium,2023,RHC20230027480,21,Submitted,17243,Palmetto State Providers Network,Consortium Of The Above,1880 Main Highway,Bamberg,SC,29003,33.313536,-81.034493,22012,Musc Medical Center,"Post-Secondary Educational Institution Offering Health Care Instruction, Teaching Hospital Or Medical School",169 Ashley Avenue,Charleston,SC,Charleston,29425,32.784352,-79.946823,Data,Ethernet,20.00 Mbps,20.00 Mbps,,Monthly,Yes,,,,2023-04-26T00:00:00.000,143032515,"FRC, LLC",FY 2023 Filing Window 1,10108.8,,,,No,,Charleston,,,,,,,,,,1,
Healthcare Connect Fund,Individual,2013,13433711,1,Committed,31254,Northwest Colorado Visiting Nurses Association,Rural Health Clinic,940 Central Park Dr Ste 101,Steamboat Springs,CO,80487-8853,40.466759,-106.821266,31254,Northwest Colorado Visiting Nurses Association,Rural Health Clinic,940 Central Park Dr Ste 101,Steamboat Springs,CO,Routt,80487-8853,40.466759,-106.821266,Leased/Tariffed Facilities or Services,Ethernet,0,0,0,Month,Yes,2014-01-01T00:00:00.000,2016-01-08T00:00:00.000,2014-06-03T00:00:00.000,2014-05-06T00:00:00.000,143005231,CenturyLink Qwest Corporation,,23049.59,23049.59,23049.59,23049.59,No,2016-07-07T23:59:59.000,Routt,10.0MB,0,0,,,,,,,,
Healthcare Connect Fund,Consortium,2022,RHC20220008336,3,Processed,50585,Franciscan Missionaries Of Our Lady Health System,Consortium Of The Above,6955 Perkins Rd,Baton Rouge,LA,70808,30.401122,-91.116636,50791,Franciscan Missionaries-Our Lady Of Lourdes,Not-For-Profit Hospital,4801 Ambassador Caffery Parkway,Lafayette,LA,Lafayette,70508,30.150517,-92.0369829,Data,Ethernet,100 Mbps,100 Mbps,1,Monthly,No,2022-07-01T00:00:00.000,2023-06-30T00:00:00.000,2023-02-16T00:00:00.000,2022-03-11T00:00:00.000,143016765,"Cox Louisiana Telcom, LLC",FY 2022 Filing Window 1,3510,3510,3510,3510,No,2023-10-28T00:00:00.000,,,,,,,,,,,,
Healthcare Connect Fund,Consortium,2023,RHC20230014556,1,Processed,70094,New Vista Consortium,Consortium Of The Above,1351 Newtown Pike,Lexington,KY,40511,38.082537,-84.493478,71056,New Vista Of The Bluegrass Inc - Nicholasville,Community Mental Health Center,324 Southview Dr,Nicholasville,KY,Jessamine,40356,37.867183,-84.580924,Equipment,Routers (leased),NA,NA,0,Monthly,No,2023-10-22T00:00:00.000,2024-06-30T00:00:00.000,2023-07-27T00:00:00.000,2022-12-15T00:00:00.000,143029426,"Airespring, Inc.",FY 2023 Filing Window 1,776.34,776.34,776.34,,No,2024-10-28T00:00:00.000,,,,,,,,,,,,
Healthcare Connect Fund,Consortium,2022,RHC20220010677,1,Processed,34088,Intermountain Healthcare,Consortium Of The Above,36 S State St,Salt Lake City,UT,84111,40.7683742,-111.8888109,10339,Logan Regional Hospital,Not-For-Profit Hospital,500 E 1400 N,Logan,UT,Cache,84341,41.766972,-111.813291,Data,Internet Access,500.00 Mbps,500.00 Mbps,0,Monthly,No,2022-07-01T00:00:00.000,2023-06-30T00:00:00.000,2022-12-22T00:00:00.000,2022-05-04T00:00:00.000,143001157,"CenturyLink Qwest Communications Company, LLC",FY 2022 Filing Window 1,10549.03,10549.03,10549.03,,No,2024-02-25T00:00:00.000,,,,,,,,,,,1,
Healthcare Connect Fund,Individual,2013,13391621,1,Committed,14482,Permian Regional Medical Center,Not-For-Profit Hospital,720 Hospital Dr,Andrews,TX,79714-3617,32.337526,-102.546591,14482,Permian Regional Medical Center,Not-For-Profit Hospital,720 Hospital Dr,Andrews,TX,Andrews,79714-3617,32.337526,-102.546591,Leased/Tariffed Facilities or Services,ISDN PRI,1.5,1.5,0,Month,Yes,2014-01-28T00:00:00.000,2016-06-30T00:00:00.000,2014-11-11T00:00:00.000,2014-03-06T00:00:00.000,143030766,"Windstream Communications, LLC",,24021.97,24021.97,20314.15,20314.15,No,2016-12-31T23:59:59.000,Andrews,0,0,0,,,,,1,0.9,1,
Healthcare Connect Fund,Individual,2022,RHC20220011706,1,Processed,27012,Carroll County Memorial - Warsaw Family Practice,Rural Health Clinic,202 Franklin St,Warsaw,KY,41095,38.7836162,-84.9024975,27012,Carroll County Memorial - Warsaw Family Practice,Rural Health Clinic,202 Franklin St,Warsaw,KY,Gallatin,41095,38.7836162,-84.9024975,Data,Internet Access,200 Mbps,10 Mbps,,Monthly,No,2022-07-01T00:00:00.000,2023-06-30T00:00:00.000,2022-07-21T00:00:00.000,2022-05-24T00:00:00.000,143050436,"Charter Communications Operating, LLC",FY 2022 Filing Window 1,1169.84,1169.84,1169.84,1169.84,No,2023-10-28T00:00:00.000,Gallatin,,,,,,,,,,,
Healthcare Connect Fund,Consortium,2022,RHC20220011586,13,Processed,34393,Mercy Health,Consortium Of The Above,3637 S Geyer Rd,Saint Louis,MO,63127,38.552476,-90.417765,36049,Mercy Clinic Family Medicine - St. James,Rural Health Clinic,107 W. Eldon,St. James,MO,Phelps,65559,37.9984291,-91.6157298,Data,Ethernet,100.00 Mbps,100.00 Mbps,2,Monthly,No,2022-07-01T00:00:00.000,2023-06-30T00:00:00.000,2023-04-06T00:00:00.000,2022-05-17T00:00:00.000,143004637,"Sho-Me Technologies, LLC",FY 2022 Filing Window 1,4641,4641,4641,4641,No,2024-02-25T00:00:00.000,All Of  Missouri,,,,,,,,,,1,
Healthcare Connect Fund,Consortium,2023,RHC20230026815,13,Processed,17243,Palmetto State Providers Network,Consortium Of The Above,1880 Main Highway,Bamberg,SC,29003,33.313536,-81.034493,15128,"Family Health Centers, Inc. At Denmark",Community Health Center Or Health Center Providing Health Care To Migrants,5616 Carolina Hwy,Denmark,SC,Bamberg,29042-2240,33.327161,-81.148903,Equipment,Network Switch (leased),200.00 Mbps,200.00 Mbps,,Monthly,Yes,2023-07-01T00:00:00.000,2026-06-30T00:00:00.000,2023-07-13T00:00:00.000,2023-04-23T00:00:00.000,143032515,"FRC, LLC",FY 2023 Filing Window 1,1048.32,1048.32,1048.32,,Yes,2026-10-28T00:00:00.000,Charleston,,,,<0.001,0.9999,<10 MS,<8 ms,,,1,
Healthcare Connect Fund,Individual,2013,13413801,2,Committed,15164,Granville Medical Center,Not-For-Profit Hospital,1010 College St,Oxford,NC,27565-2507,36.326762,-78.59427,15164,Granville Medical Center,Not-For-Profit Hospital,1010 College St,Oxford,NC,Granville,27565-2507,36.326762,-78.59427,Leased/Tariffed Facilities or Services,Internet,50,5,0,Month,No,2014-01-18T00:00:00.000,2014-06-30T00:00:00.000,2014-05-06T00:00:00.000,2014-04-10T00:00:00.000,143027380,"Time Warner Cable Information Services (North Carolina), LLC",,1583.2,1438.5,1438.5,1583.2,No,2014-12-31T23:59:59.000,Granville,,0,0,,,,,,1,1,
Healthcare Connect Fund,Consortium,2023,RHC20230018164,5,Processed,69363,Erlanger Health System,Consortium Of The Above,975 E 3Rd St,Chattanooga,TN,37403,35.048086,-85.290781,17215,Erlg  - Baroness Hospital,"Post-Secondary Educational Institution Offering Health Care Instruction, Teaching Hospital Or Medical School",975 E 3Rd St,Chattanooga,TN,Hamilton,37403,35.0482001,-85.2907565,Data,ISDN,1.544 Mbps,1.544 Mbps,0,Monthly,No,2023-07-01T00:00:00.000,2024-06-30T00:00:00.000,2023-06-22T00:00:00.000,2023-01-27T00:00:00.000,143022238,Electric Power Board of Chattanooga,FY 2023 Filing Window 1,3369.6,3369.6,3369.6,,No,2024-10-28T00:00:00.000,,,,,,,,,,,,
Healthcare Connect Fund,Consortium,2023,RHC20230018106,3,Processed,33832,Kansas Health-E Broadband Consortium,Consortium Of The Above,215 Se 8Th Ave,Topeka,KS,66603,39.04789,-95.672394,49214,Fw Huston Medical Center/Jefferson County Memorial Hospital,Not-For-Profit Hospital,408 Delaware St,Winchester,KS,Jefferson,66097,39.3256231,-95.2696394,Equipment,Routers (leased),NA,NA,0,Monthly,No,,,2023-11-16T00:00:00.000,2023-01-26T00:00:00.000,143022604,AT&T Corp.,FY 2023 Filing Window 1,546,0,0,,No,2024-10-28T00:00:00.000,,,,,,,,,,,,
Healthcare Connect Fund,Individual,2023,RHC20230016268,1,Processed,17381,"Mountain Comp Care Center, Martin County Outpatient",Community Mental Health Center,Route 3 Rock Castle Creek Rd,Inez,KY,41224,37.8368621,-82.5294065,17381,"Mountain Comp Care Center, Martin County Outpatient",Community Mental Health Center,Route 3 Rock Castle Creek Rd,Inez,KY,Martin,41224,37.8368621,-82.5294065,Data,Internet Access,20 Mbps,20 Mbps,,Monthly,No,2023-07-01T00:00:00.000,2024-06-30T00:00:00.000,2023-06-08T00:00:00.000,2023-01-15T00:00:00.000,143049569,"Altaworx, LLC.",FY 2023 Filing Window 1,4003.66,4003.66,4003.66,,No,2024-10-28T00:00:00.000,Martin,,,,,,,,,,,
Healthcare Connect Fund,Individual,2013,13404861,2,Committed,31254,Northwest Colorado Visiting Nurses Association,Rural Health Clinic,940 Central Park Dr Ste 101,Steamboat Springs,CO,80487-8853,40.466759,-106.821266,31254,Northwest Colorado Visiting Nurses Association,Rural Health Clinic,940 Central Park Dr Ste 101,Steamboat Springs,CO,Routt,80487-8853,40.466759,-106.821266,Leased/Tariffed Facilities or Services,T-1 / DS-1,1.5,1.5,0,Month,No,2014-02-18T00:00:00.000,2014-06-30T00:00:00.000,2014-04-22T00:00:00.000,2014-03-17T00:00:00.000,143005231,CenturyLink Qwest Corporation,,797.16,797.16,797.16,797.16,No,2014-12-31T23:59:59.000,Routt,,0,0,,,,,1,1,1,
Healthcare Connect Fund,Individual,2013,13413861,1,Committed,15164,Granville Medical Center,Not-For-Profit Hospital,1010 College St,Oxford,NC,27565-2507,36.326762,-78.59427,15164,Granville Medical Center,Not-For-Profit Hospital,1010 College St,Oxford,NC,Granville,27565-2507,36.326762,-78.59427,Leased/Tariffed Facilities or Services,Ethernet,50.0MB,50.0MB,0,Month,Yes,2014-01-18T00:00:00.000,2016-06-30T00:00:00.000,2014-11-11T00:00:00.000,2014-04-10T00:00:00.000,143027380,"Time Warner Cable Information Services (North Carolina), LLC",,9624.19,9624.19,9624.19,9624.19,No,2016-12-31T23:59:59.000,Granville,50.0MB,0,0,,,,,,,,
Healthcare Connect Fund,Individual,2013,13379121,1,Committed,11411,Minnie Hamilton Health Care Center,Not-For-Profit Hospital,186 Hospital Dr,Grantsville,WV,26147-7100,38.93535,-81.071492,11411,Minnie Hamilton Health Care Center,Not-For-Profit Hospital,186 Hospital Dr,Grantsville,WV,Calhoun,26147-7100,38.93535,-81.071492,Leased/Tariffed Facilities or Services,ISDN PRI,1.5,1.5,,Month,No,2014-01-01T00:00:00.000,2014-06-30T00:00:00.000,2014-04-08T00:00:00.000,2014-01-21T00:00:00.000,143001430,Citizens Mountain State Tel,,2311.28,2311.28,2311.28,2311.28,No,2014-12-31T23:59:59.000,Calhoun,1.544MB,0,0,,,,,,,,
